,date,value,ub,lb,std
44,12/15/2021,185533.54938271604,212925.5871675968,158141.51159783528,27392.037784880744
45,12/16/2021,214190.82716049382,246986.72505172895,181394.9292692587,32795.89789123512
46,12/17/2021,246827.1049382716,286144.9549406655,207509.2549358777,39317.85000239393
47,12/18/2021,283433.89506172837,330410.20195363264,236457.58816982413,46976.30689190424
48,12/19/2021,323254.0740740741,378764.40745839407,267743.74068975414,55510.333384319994
49,12/20/2021,364145.63580246916,428305.881850773,299985.3897541653,64160.24604830387
50,12/21/2021,401969.1728395062,473470.6085334689,330467.73714554345,71501.43569396272
51,12/22/2021,430881.5308641975,506580.3927004779,355182.66902791715,75698.86183628038
52,12/23/2021,448839.43209876545,525671.1464358722,372007.71776165866,76831.7143371068
53,12/24/2021,457176.6790123457,533056.647159965,381296.7108647263,75879.96814761938
54,12/25/2021,458295.9567901235,531962.0397965086,384629.87378373835,73666.08300638515
55,12/26/2021,453803.7839506173,524491.0467506009,383116.5211506337,70687.26279998361
56,12/27/2021,444695.65432098764,511949.15782654134,377442.15081543394,67253.50350555367
57,12/28/2021,432129.9197530864,495725.2202330576,368534.6192731152,63595.30047997122
58,12/29/2021,417215.44444444444,477100.5127605918,357330.37612829707,59885.068316147364
59,12/30/2021,400857.95061728393,457076.6661259142,344639.23510865367,56218.715508630296
60,12/31/2021,383699.94444444444,436354.5480745222,331045.3408143667,52654.60363007771
61,01/01/2022,366215.9567901235,415450.01723579835,316981.8963444486,49234.060445674855
62,01/02/2022,348737.7962962963,394721.7356249195,302753.85696767305,45983.93932862322
63,01/03/2022,331469.55555555556,374387.1033115558,288552.0077995553,42917.54775600028
64,01/04/2022,314519.3209876543,354555.3497629706,274483.29221233807,40036.028775316234
65,01/05/2022,297935.5432098765,335267.9996894425,260603.08673031052,37332.45647956599
66,01/06/2022,281773.65432098764,316572.33843600785,246974.9702059674,34798.68411502023
67,01/07/2022,266092.1975308642,298519.06766220205,233665.32739952634,32426.870131337866
68,01/08/2022,250950.93827160494,281159.66778437747,220742.2087588324,30208.72951277254
69,01/09/2022,236399.34567901236,264535.0016284358,208263.68972958892,28135.655949423453
70,01/10/2022,222480.14197530865,248679.5235695984,196280.76038101892,26199.381594289724
71,01/11/2022,209214.45061728396,233605.69877082223,184823.2024637457,24391.248153538276
72,01/12/2022,196614.43209876542,219317.51428187185,173911.349915659,22703.08218310641
73,01/13/2022,184690.56790123458,205818.1875534208,163562.94824904835,21127.619652186222
74,01/14/2022,173437.88888888888,193095.66461038275,153780.113167395,19657.77572149387
75,01/15/2022,162844.34567901236,181131.05326315103,144557.6380948737,18286.70758413868
76,01/16/2022,152894.0061728395,169902.08905540654,135885.92329027245,17008.082882567058
77,01/17/2022,143567.6234567901,159383.57641348217,127751.67050009806,15815.952956692057
78,01/18/2022,134843.27160493826,149548.04856729548,120138.49464258105,14704.776962357215
79,01/19/2022,126697.34567901235,140366.72718820424,113027.96416982045,13669.381509191902
80,01/20/2022,119104.20987654322,131809.11836315392,106399.30138993252,12704.908486610702
81,01/21/2022,112038.47530864198,123845.37742850927,100231.5731887747,11806.902119867293
82,01/22/2022,105474.85802469136,116446.13760129768,94503.57844808504,10971.279576606323
83,01/23/2022,99388.70987654322,109583.03950176948,89194.38025131695,10194.329625226272
84,01/24/2022,93755.98765432098,103228.65738909485,84283.31791954712,9472.669734773863
85,01/25/2022,88551.74691358025,97354.93363391867,79748.56019324184,8803.186720338419
86,01/26/2022,83751.20370370371,91934.2785176979,75568.12888970952,8183.074813994188
87,01/27/2022,79330.47530864198,86940.31487483175,71720.63574245221,7609.839566189763
